Log File Version	4.2																																																													
Vx Post Processor version	4.9.1.522																																																													
																																																														
File created:       	"11 Apr 2018,  16:30:32"																																																													
Session logged:     	"27 Mar 2018,  00:04:39"																																																													
																																																														
DAFC Serial Number  	0307-50/06																																																													
DAFC HW Version     	1.6																																																													
DAFC SW Version     	4.9.1.523																																																													
DAFC FW Version     	c10 v30																																																													
GD Serial Number    	3289																																																													
Configuration name  	Default																																																													
Mode                	Gas mode																																																													
																																																														
D:\VX-52\2018\Rospan FFB\Jobs\2-28-01\ASD 2-28-01.vxcnf																																																														
D:\VX-52\2018\Rospan FFB\Jobs\2-28-01\Job001\FP006\Default-wp000-27Mar2018-000300																																																														
																																																														
Date & Time         	         qo_lc[m3/d]	         qw_lc[m3/d]	         qg_lc[m3/d]	        qo_sc[Sm3/d]	        qw_sc[Sm3/d]	        qg_sc[Sm3/d]	      qo_scnp[Sm3/d]	      qw_scnp[Sm3/d]	      qg_scnp[Sm3/d]	            Fo_lc[%]	            Fw_lc[%]	            Fg_lc[%]	              WLR[%]	              GVF[%]	          GLR[m3/m3]	              BSW[%]	        GOR[Sm3/Sm3]	       GOR1[Sm3/Sm3]	         mo_lc[kg/d]	         mw_lc[kg/d]	         mg_lc[kg/d]	          m_lc[kg/d]	         mo_sc[kg/d]	         mw_sc[kg/d]	         mg_sc[kg/d]	         Mu_o_lc[cP]	         Mu_l_lc[cP]	        Do_lc[g/cm3]	        Dw_lc[g/cm3]	        Dg_lc[g/cm3]	        Dm_lc[g/cm3]	        Dl_lc[g/cm3]	       Dms_lc[g/cm3]	          bo[Sm3/m3]	          bw[Sm3/m3]	          bg[Sm3/m3]	                   Z	        Rst[Sm3/Sm3]	       Rwst[Sm3/Sm3]	       rgmp[Sm3/Sm3]	            N32[cps]	            N81[cps]	           N356[cps]	         NTotal[cps]	         DeadTime[s]	       SampleTime[s]	           DPV[mbar]	            PL[bara]	            TL[DegC]	          TAMB[DegC]	           PIN[bara]	          POUT[bara]	          TOUT[DegC]	        Dyn_DP[mbar]	OperatingPointLE[1/m]	OperatingPointHE[1/m]	     OilPointLE[1/m]	     OilPointHE[1/m]	   WaterPointLE[1/m]	   WaterPointHE[1/m]	     GasPointLE[1/m]	     GasPointHE[1/m]
3/27/2018 0:05	336.54	5.8201	14385	246.08	5.8001	8.12E+05	246.08	5.8001	7.84E+05	2.7584	0.047703	97.194	1.7	97.666	42.998	2.3027	3375.6	3258.9	2.39E+05	5795.1	6.18E+05	8.60E+05	1.93E+05	5800.1	6.43E+05	0.51583	0.53184	0.70466	0.99566	0.043056	0.061761	0.70961	0.063071	0.73122	0.99656	54.473	0.84699	116.71	1.5181	0	17881	8675.6	12030	43936	0.025589	1	1860	48.423	25.913	17.726	50.416	46.399	25.592	1860.2	1.6023	1.0714	17.751	12.037	34.564	16.82	1.11	0.77801
3/27/2018 0:06	341.97	5.914	14302	250.1	5.8937	8.08E+05	250.1	5.8937	7.79E+05	2.7689	0.047885	97.183	1.7	97.624	41.251	2.3023	3240.6	3123.9	2.43E+05	5888.6	6.15E+05	8.63E+05	1.97E+05	5893.7	6.39E+05	0.51592	0.53193	0.7047	0.99565	0.043033	0.06181	0.70964	0.063118	0.73135	0.99656	54.443	0.84706	116.63	1.5173	0	17894	8673.3	12005	43931	0.025583	1	1855.7	48.405	25.928	17.722	50.371	46.411	25.604	1853	1.5779	1.0918	17.751	12.037	34.564	16.82	1.1103	0.77824
