oilfield,d,th,l,start_year,producer,liq_vol_flow,oil_mass_flow,w_cut,pressure,ingibition,object,report_year,liquid_speed,pipe_age,steel,accident_in_year
0,114.0,5.0,1.3,1991.0,14,176.5,13.449999809265135,91.13629657493368,14.0,0.0,30.0,2014.0,0.2002403555894782,23.0,Ст.20,2.0
0,114.0,8.0,0.06,1992.0,13,515.0,22.0,95.03273876721607,8.0,0.0,30.0,2013.0,0.5842707259409704,21.0,Ст.20,1.0
0,114.0,8.0,1.42,1992.0,13,1120.0,42.9,95.54609634551494,8.0,0.0,19.0,2014.0,1.2706470156386152,22.0,Ст.20,1.0
0,219.0,6.0,0.38,1990.0,3,798.0,117.4000015258789,82.8932794885646,30.0,0.0,30.0,2017.0,0.2453190433551866,27.0,Ст.10,1.0
1,159.0,8.0,0.397,2005.0,13,187.0,75.69999694824219,52.928742104065286,16.0,0.0,1.0,2013.0,0.10905961461210903,8.0,Ст.20С,1.0
1,159.0,6.0,1.7,1985.0,1,79.0,33.38,48.791448314567326,11.0,0.0,61.4,2013.0,0.04607331312490167,28.0,Ст.10,5.0
1,159.0,6.0,1.7,1985.0,1,104.16666666666669,34.5,60.38605717128289,11.0,0.0,69.0,2014.0,0.06075067658874165,29.0,Ст.10,6.0
1,219.0,8.0,1.8630000000000002,2005.0,2,528.0,42.0,90.75052854122622,21.0,1.0,1.0,2014.0,0.16231635951320614,9.0,Ст.20А,1.0
1,426.0,10.0,11.306,2005.0,11,5630.0,653.2000122070312,86.50914923774151,11.0,0.0,0.0,2017.0,0.45741014998342,12.0,Ст.09ГСФ,1.0
2,159.0,10.0,3.6,2005.0,14,1423.0,136.0,88.88689143473499,21.1,0.0,11.0,2014.0,0.829902842743482,9.0,Ст.09ГСФ,1.0
2,159.0,10.0,3.6,2005.0,14,1476.5,131.55000305175778,89.64177678148243,20.8,0.0,11.0,2015.0,0.8611043902394597,10.0,Ст.09ГСФ,2.0
2,159.0,5.0,0.05,1988.0,1,1069.0,27.0,97.06311049230972,8.3,0.0,11.0,2015.0,0.6234477434243023,27.0,Ст.09ГСФ,1.0
2,159.0,5.0,0.05,1988.0,1,1240.0,24.0,97.74943735933985,9.8,0.0,11.0,2016.0,0.7231760541123806,28.0,Ст.09ГСФ,1.0
2,159.0,5.0,1.025,1989.0,13,1231.0,240.0,77.32983205183912,98.0,0.0,11.0,2014.0,0.7179271956551133,25.0,Ст.09ГСФ,1.0
2,159.0,5.0,1.025,1989.0,13,1258.5,80.25,93.02433398668123,12.2,0.0,11.0,2015.0,0.7339653742745411,26.0,Ст.09ГСФ,2.0
