qo_lc[m3/d],qg_lc[m3/d],Date & Time
335.07,31933.796432154784,2018-04-24 00:00:00
340.51,38305.95330306952,2018-04-24 00:01:00
349.76,35991.11583031411,2018-04-24 00:02:00
314.72,29139.447284587364,2018-04-24 00:03:00
347.09,35841.065210228604,2018-04-24 00:04:00
329.58,31973.501457983388,2018-04-24 00:05:00
339.99,34495.37692018761,2018-04-24 00:06:00
365.74,33796.164071950276,2018-04-24 00:07:00
318.32,28744.52652026432,2018-04-24 00:08:00
335.54,30796.156225078154,2018-04-24 00:09:00
383.78,34632.32239749306,2018-04-24 00:10:00
359.1,40115.3073886731,2018-04-24 00:11:00
345.41,32511.347207398998,2018-04-24 00:12:00
328.9,33055.745070124816,2018-04-24 00:13:00
361.12,39374.73713905846,2018-04-24 00:14:00
301.81,28576.34725668613,2018-04-24 00:15:00
357.75,31595.504901151664,2018-04-24 00:16:00
344.97,32905.747347528864,2018-04-24 00:17:00
263.61,30866.327745589268,2018-04-24 00:18:00
344.4,40027.47733751613,2018-04-24 00:19:00
284.16,22534.46619003844,2018-04-24 00:20:00
315.68,34148.00568547814,2018-04-24 00:21:00
322.56,35346.09740363317,2018-04-24 00:22:00
376.61,41211.3206417553,2018-04-24 00:23:00
305.31,33931.72545335481,2018-04-24 00:24:00
322.52,34915.51235489578,2018-04-24 00:25:00
362.4,33000.061103052634,2018-04-24 00:26:00
324.51,33934.26372062601,2018-04-24 00:27:00
344.88,31074.710401465283,2018-04-24 00:28:00
362.07,36940.63175118712,2018-04-24 00:29:00
336.68,32031.62414277584,2018-04-24 00:30:00
306.38,34722.76442198649,2018-04-24 00:31:00
363.2,41525.29595179978,2018-04-24 00:32:00
318.82,28488.4308311031,2018-04-24 00:33:00
347.36,35124.78154779495,2018-04-24 00:34:00
295.68,31475.7218505727,2018-04-24 00:35:00
341.04,40618.227740428745,2018-04-24 00:36:00
362.57,33044.30192395669,2018-04-24 00:37:00
335.61,34252.882690125334,2018-04-24 00:38:00
330.29,31248.8340832317,2018-04-24 00:39:00
346.91,33183.44915262917,2018-04-24 00:40:00
325.31,35442.58855322027,2018-04-24 00:41:00
304.12,34326.080965957415,2018-04-24 00:42:00
357.65,38331.25604459593,2018-04-24 00:43:00
355.1,37409.420966316655,2018-04-24 00:44:00
304.93,32029.546429554663,2018-04-24 00:45:00
302.46,30134.721226184083,2018-04-24 00:46:00
347.69,30440.883152951206,2018-04-24 00:47:00
342.65,35974.854135716065,2018-04-24 00:48:00
319.69,31805.77643311801,2018-04-24 00:49:00
312.14,33612.9810697485,2018-04-24 00:50:00
372.35,34635.0931497088,2018-04-24 00:51:00
373.63,37667.40240520133,2018-04-24 00:52:00
342.17,40867.608202264535,2018-04-24 00:53:00
303.71,25801.473695475248,2018-04-24 00:54:00
321.39,51164.512203695886,2018-04-24 00:55:00
359.45,41630.610088335496,2018-04-24 00:56:00
316.97,41198.98727590779,2018-04-24 00:57:00
379.03,31829.691949401422,2018-04-24 00:58:00
371.0,37156.27568278658,2018-04-24 00:59:00
375.27,40417.72639990536,2018-04-24 01:00:00
338.45,35156.845277199245,2018-04-24 01:01:00
324.6,30857.82857408908,2018-04-24 01:02:00
322.85,34763.086616610926,2018-04-24 01:03:00
327.41,35631.10172406343,2018-04-24 01:04:00
378.83,39222.62974830719,2018-04-24 01:05:00
356.8,33094.582442994455,2018-04-24 01:06:00
347.43,31357.436020621168,2018-04-24 01:07:00
340.78,32510.72334203001,2018-04-24 01:08:00
